name,kind,verdict,verdict_date,symbols_tested,TFs_tested,lever_rounds_evidence,best_PF_seen,class_claimed,source_file,source_anchor
"MG_v1 MatchaGrid","EA","CORE (live)","2026-06-22","1: CHFJPY (JPY-crosses never tried)","1: M15","optimized+locked, passed deep-validation (grid bounded+SL); coverage matrix marks it optimized; no other symbol/TF ever swept","2.08 OOS","n/a (pass)","EA_SCORECARD_AND_REGISTRY.md","Part2 MT5 LIVE + MASTER_BACKLOG coverage matrix"
"NuiIndy RSI+ADX","EA","CORE (live)","2026-06-22","4: EURUSD(live) GBPUSD(rej DD37) USDJPY AUDJPY(wipeout)","2: H1 (H4 probe = 0 trades)","optimized+locked; H4 test gave 0 trades ('reversion ceiling at H1'); other symbols rejected at smoke","2.00 OOS","n/a (pass)","EA_SCORECARD_AND_REGISTRY.md","Part2 LIVE + MASTER_BACKLOG coverage"
"ST_EA03 / Count-MACD family (fxDreema, live 9397/9398/990010/user-939721)","EA","STRUCTURAL - entry has NO standalone edge; never promote to real money, demo data-collection only (earlier verdicts: CORE live 2026-06-22, replica CANDIDATE-MARGINAL)","2026-07-10","13+: GBPUSD USDCAD (live) + EUR/USDJPY/EURJPY/XAU/GBPJPY +6 more all REJECT","3: H1 best (M30 1.86 / M15 1.48 - spread eats target)","flat-lot probe (LOT_Repeat=999999): GBP PF 0.68 / CAD 0.40 both wiped, eqDD float 57-69% every year; ORDER-071 entry rescue = 4 exits x 2 symbols + 3 H4 gates = 18 configs, best 0.99 (bar 1.05); earlier: 48-combo grid, WFA 6-window, vol-gate PARTIAL, ADX-gate FALSIFIED, SL = dead end","2.51 (escalation-on GBP)","STRUCTURAL","memory signal-landscape.md + AGENT_TASKBOARD.md","2026-07-10 entry + ORDER-068/ORDER-071"
"EA_RUNNER_ST03 replica (GBPUSD)","EA","CANDIDATE-MARGINAL / WATCH demo 990010 - superseded 2026-07-10 by family STRUCTURAL verdict","2026-07-02 (then 07-10)","5: GBPUSD(only) EURGBP USDCAD EURUSD(M4 collapse) +grid","3: H1 optimal, M30/M15 weaker","exhaustive: LR sweep (LotRepeat), STEP3 grid 48/48 combos OOS<1.0, MC, WFA 6-window 4/6, crisis passes, hard-SL sweep = DEAD END proven, vol/ADX gates tested","8.31 IS / 3.93 OOS (M4 2024 regime)","PARAMETRIC (regime) then STRUCTURAL","EA_SCORECARD_AND_REGISTRY.md","MT5 FRAMEWORK row EA_RUNNER_ST03"
"Gold Reaper 4.3","EA","CORE conditional (live) - watch","2026-06-22","1: XAUUSD","1: H1","default params only. StartLots 5-pass sweep = NULL RESULT (Risk=1234 internal mode ignores lot input - all 5 passes bit-identical); real levers MaxRiskPerStrategy_/RunStrat1..9 never swept","2.35","unknown (never truly optimized)","EA_SCORECARD_AND_REGISTRY.md","Gold Reaper opt review 2026-07-02"
"EA_BREAKOUT_XAU (Bars40->55)","EA","CANDIDATE (live, re-tuned Bars55 v3) - EA-SCORE calibration ~8","2026-06-28","1: XAUUSD (other symbols separate cells all dead)","1: H1 (signal TF hardcoded PERIOD_H1 - TF not sweepable)","BreakoutBars{8,12,20,34,55} x TP{4,6} Model 4 - every combo clears IS+OOS; Bars55 best IS 2.85-3.19/OOS 2.94-4.87; MC on Bars8 PF-5th 1.73 ruin 0%; corr Bars8-vs-55 = 0.21","4.87 OOS","n/a (pass)","memory signal-landscape.md","LIVE LEADS XAU breakout BreakoutBars-tuning"
"LondonConsoBreakout (GBPUSD)","EA","CANDIDATE (live)","2026-06-22","5: GBPUSD(pass) GBPJPY GBPCAD EURGBP USDCAD(all DEAD)","1: H1 (H4 never tried)","optimized; 3/3 OOS windows PF>=1.2","2.08 OOS","n/a (pass)","EA_SCORECARD_AND_REGISTRY.md","Part2 LIVE + MASTER_BACKLOG coverage"
"LondonConsoBreakout x EURUSD","cell","DROP (removed from portfolio)","2026-06 (Q2 rescue)","1: EURUSD","1: H1","rescue sweep 48 combos x 3 windows DONE - NO combo passes all 3 at PF>=1.2; best min-PF 0.92, both OOS <1.0","1.25 (initial OOS)","PARAMETRIC (swept, no durable edge)","EA_SCORECARD_AND_REGISTRY.md","Part2 LIVE row 8"
"(Boss)_RSI_MR_GridLog_rev01","EA","ROBUST (robustness-validator Mode A score 89) -> demo-first (demo cohort #4, magic 990103)","2026-07-08","1: EURUSD","1: H1","full pipeline ~74 backtests: 3 independent windows 1.38/1.34/2.17, MC ruin 0%/PF-5th 1.34, WFA ER 1.25 (OOS beats IS) 3/3 OOS profitable; honest caveat: edge = capped-recovery (flat-lot loses)","2.17 (window 3)","n/a (pass, capped-recovery caveat)","EA_SCORECARD_AND_REGISTRY.md","MT5 FRAMEWORK (Boss)_RSI_MR row"
"EA_KAUFMAN_ER BuyOnly (XAU H4)","EA","CANDIDATE - reserve (user decision 2026-07-02: keep, do not deploy)","2026-07-02","2: XAUUSD(pass) GBPUSD(0.65 dead)","1: H4","default params only (ERPeriod14/ER>=0.30/ST ATRx3) - IS 2.34/50t OOS 5.19/17t + reconfirm run matches exactly; NO param sweep; M4 confirm still a pre-deploy condition; corr 0.946 vs SuperTrend","5.19 OOS (17t thin)","n/a (pass-thin)","EA_SCORECARD_AND_REGISTRY.md","MT5 VALIDATED RESERVE"
