order_id,close_date,status_at_cutoff,cutoff_blob_line,evidence_commit,class,outcome,onboarding_time,context_incident,context_rework,wrong_order_file_scope,lead_attention_hours,notes
ORDER-078,2026-07-11,DONE,3202,00392e30,EA-CANDIDATE,bench,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,Boss_16 BUY 21/30 full validation funnel (review b93e4b9d)
ORDER-085B,2026-07-11,DONE,4007,b5b1b429,EA-PARK,reserve,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,SuperTrend XAU H4 BWD+plateau (review e481e00f)
ORDER-083B,2026-07-11,DONE,4370,3fe22538,INFRA,tool,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,NewsGuard ported to MQL4 no-SL fleet
ORDER-092,2026-07-11,DONE,4516,f8a7eb9f,INFRA,tool,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,Floating-risk telemetry MT5+MT4
ORDER-093,2026-07-11,DONE,4605,c910765c,INFRA,tool,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,Deployment truth = portfolio/DEPLOYMENTS.csv + checker
ORDER-083C,2026-07-11,DONE,4619,3b036668,INFRA,tool,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,NewsGuard hardening MT5+MT4 (Codex) + VPS transport
ORDER-094,2026-07-11,DONE,4664,45df678b,INFRA,tool,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,Cage hardening 4/4 fail-closed
ORDER-091C-D1,2026-07-11,DONE,4859,69dbbc5f,EA-CANDIDATE,bench,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,JUMSTOCH full funnel capped+SL grid
ORDER-091C-D1b,2026-07-11,DONE,4975,9f53765f,EA-CANDIDATE,bench,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,JUMSTOCH spread-robust gate passed
ORDER-091C-D1c,2026-07-11,DONE,5022,31d5bd6c,EA-CANDIDATE,bench,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,JUMSTOCH symbol x TF expand
ORDER-091C-D1e,2026-07-11,DONE,5161,33ea3a5c,EA-CANDIDATE,bench,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,JUMSTOCH MT5 port smoke 5 uncorrelated legs
ORDER-091C-D1f,2026-07-11,DONE,5477,0d85a525,EA-CANDIDATE,bench,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,JUMSTOCH MT5 OOS validate EURGBP/NZDUSD
ORDER-095-A,2026-07-11,DONE,5276,ab9d647f,EA-CANDIDATE,bench,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,Boss_14 GridLog symbol expand (demo flagship)
ORDER-096A,2026-07-11,REVIEWED,5602,3acc39c2,EA-REJECT,dead,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,Alligator+AO naked smoke DEAD (WOBR leads)
ORDER-096B,2026-07-11,REVIEWED,5630,3acc39c2,EA-REJECT,dead,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,USDJPY IchiADX DEAD-optimized ceiling PF 1.14
ORDER-096C,2026-07-11,DONE,5650,3acc39c2,INFRA,housekeeping,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,commit WOBR intake artifacts
ORDER-091B,2026-07-11,DONE-PHASE1,4113,87e83792,EA-REJECT,dead,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,BOT MOGUL rank+shortlist (adverse-selected overfit)
ORDER-088,2026-07-10,DONE,3747,48acbec2,EA-REJECT,dead,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,Oracle EA REJECT - top-5 trades=100.8pct of net (recovery-illusion); review 76fb6049
ORDER-089,2026-07-10,DONE,3800,53de4960,EA-PARK,mixed,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,ZSCORE AUDCAD H4 pass / H1 dead
ORDER-090,2026-07-10,DONE-STOPPED-STAGE2,3926,f06dcff1,EA-REJECT,dead,NOT_RECORDED,NOT_RECORDED,0,0,NOT_RECORDED,ZSCORE AUDCAD full rescue-ladder death BWD
