magic,ea_name,symbol,account,basket_id,pf_expected,pf_basis,trades_per_month_expected,dd95_expected,dd95_basis,source_evidence,recorded_date,notes
990103,(Boss)_RSI_MR_GridLog,EURUSDm,463666728,,UNKNOWN,RANGE_NOT_SEPARABLE,8.33,4.65,MC95,"_demo_deploy/README_DEPLOY.md table row 4 + EA_MASTER_INDEX.csv RSI_MR row (MC ruin 0%/PF-5th 1.34; WFA ER 1.25) | dd95: ea_projects/(Boss)_RSI_MR_GridLog/ROBUSTNESS_VERDICT.yaml monte_carlo.dd_95th_pct=4.65 (source _mt5_auto/RSIMR_MC.json, bootstrap on 578 trades full-span 2020-2026 EURUSD H1 ATR9)",2026-07-23,"pf_expected raw: 1.34-2.17 (3-window range) | dd95_expected raw: 4.65% (MC DD_95th, bootstrap; ORDER-159 backfill) | ORDER-942 2026-08-02: RE-POINTED from account 159503454 to 463666728 (symbol EURUSD -> EURUSDm). The rate was NOT re-derived - it already existed and was correct; the row simply named the account the EA used to be on, and control_room_snapshot.ps1 keys the lookup on ""account|magic"", so it read NA. A trade RATE transfers across brokers far better than a PF does (ORDER-371), but it is not identical - re-derive if this leg is ever judged on the number."
990101,(Boss)_ZeusInspired_GridLog,XAUUSD,159503454,,UNKNOWN,RANGE_NOT_SEPARABLE,10.83,2.78,MC95,"_demo_deploy/README_DEPLOY.md table row 5 | dd95: ea_projects/(Boss)_ZeusInspired_GridLog/ROBUSTNESS_VERDICT_XAU.yaml monte_carlo.dd_95th_pct=2.78 (386 trades, XAUUSD H1 ATR1.0 gold-rescaled)",2026-07-23,"pf_expected raw: 1.38-2.16 (3-window range) | dd95_expected raw: 2.78% (MC DD_95th, bootstrap; ORDER-159 backfill)"
991001,EA_BREAKOUT_XAU,XAUUSD,159503454,,UNKNOWN,RANGE_NOT_SEPARABLE,1.08,1.88,MC95,"_demo_deploy/README_DEPLOY.md table row 6 | dd95: ea_projects/EA_BREAKOUT_XAU/ROBUSTNESS_VERDICT.yaml monte_carlo.dd_95th_pct=1.88 (86 trades, BUY-only default)",2026-07-23,"pf_expected raw: 1.74-2.94 (3-window range) | dd95_expected raw: 1.88% (MC DD_95th, bootstrap; ORDER-159 backfill)"
991004,(BRK)_SqueezeBreakout,XAUUSD,159503454,,UNKNOWN,RANGE_NOT_SEPARABLE,1.25,2.06,MC95,_demo_deploy/README_DEPLOY.md table row 7 (MC PF-5th 1.25; WFA 3/3 OOS) | dd95: ea_projects/(BRK)_SqueezeBreakout/ROBUSTNESS_VERDICT.yaml monte_carlo.dd_95th_pct=2.06 (96 trades),2026-07-23,"pf_expected raw: 2.07-2.67 (3-window range) | dd95_expected raw: 2.06% (MC DD_95th, bootstrap; ORDER-159 backfill)"
991002,(BRK)_TrendlineBreakout,XAUUSD,159503454,,UNKNOWN,RANGE_NOT_SEPARABLE,4.58,6.72,MC95,_demo_deploy/README_DEPLOY.md table row 8 (MC PF-5th 0.986 near-miss) | dd95: ea_projects/(BRK)_TrendlineBreakout/ROBUSTNESS_VERDICT.yaml monte_carlo.dd_95th_pct=6.72 (351 trades),2026-07-23,"pf_expected raw: 1.23-1.40 (3-window range; EXPERIMENTAL) | dd95_expected raw: 6.72% (MC DD_95th, bootstrap; ORDER-159 backfill)"
1524,NuiIndy Dynamic RSI+ADX,EURUSD,159475669,,2.00,plain,UNKNOWN,UNKNOWN,UNKNOWN,EA_SCORECARD_AND_REGISTRY.md line 157 + _triage/ORDER095_NUIINDY_EXPAND_VERDICT.md,2026-07-23,pf_expected raw: 2.00 (as-shipped escalated/live-replica; NOT signal edge -- single-order 0.90 / flat-lot 0.72) | NEEDS_MC
9398,ST_EA03 Count-MACD,USDCAD,159475669,,0.40,plain,UNKNOWN,UNKNOWN,UNKNOWN,DEMO_DEPLOYMENT_PLAN.md line 304 (159475669 real-account row),2026-07-23,pf_expected raw: 0.40 (flat-lot; no entry edge -- STRUCTURAL no-edge kill reason) | NEEDS_MC
939721,ST_EA03 Count-MACD user config,GBPUSD,159475669,,0.68,plain,UNKNOWN,UNKNOWN,UNKNOWN,DEMO_DEPLOYMENT_PLAN.md line 304 (159475669 real-account row),2026-07-23,pf_expected raw: 0.68 (flat-lot; no entry edge -- uncapped-ruin confirmed) | NEEDS_MC
990005,CB_GBP ConsoBreakout,GBPUSD,159475669,,2.08,plain,UNKNOWN,UNKNOWN,UNKNOWN,EA_SCORECARD_AND_REGISTRY.md line 162 (LondonConsoBreakout GBPUSD row; 3/3 OOS),2026-07-23,NEEDS_MC
990010,ST03 replica,GBPUSD,159475669,,0.86,plain,32.50,UNKNOWN,UNKNOWN,EA_MASTER_INDEX.csv Boss_15 (EA_RUNNER_ST03 replica) row (585t over 2025.01-2026.06),2026-07-23,pf_expected raw: 0.86 (M4 OOS 2025.01-2026.06) | NEEDS_MC
,unenumerated user EAs (LondonConso/GoldReaper/MatchaGrid/BRK-XAU),VARIOUS,159475669,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNVERIFIED_ROW,2026-07-23,NEEDS_MC
