> ORDER-164 Full Parameter Registry - ea_template/core/Inputs.mqh
> Snapshot commit: 733c1db76ea3bcb8e99b7604ee97fe2724459bf9 (last commit touching Inputs.mqh as of registry build; committed 2026-07-23T08:21:21+07:00)
> Registry built: 2026-07-23 (Sonnet, per AGENT_TASKBOARD.md ORDER-164)
> Row count: 183 real inputs = 183/183 COMPLETE as of PARAM-SYNC-004 (2026-07-24). Verify with: compare the identifiers from lines matching '^input ' minus 'input group' in ea_template/core/Inputs.mqh against this file's name column with any [LAB_ENTRY_nn] suffix stripped - the diff must be empty both ways.
> PARAM-SYNC-004 (2026-07-24, Fable-seat): the ORDER-161 moving-target gap is CLOSED. Appended the 6 rows that were deliberately excluded from the ORDER-164 snapshot (_43_LotPerAnchor, _43_BalanceAnchor, _2_BasketTP_BalPct, _32_SL_BalPct, _57_DynCloseBalPct, _8_DDRefBalPct - they live at the END of this file, not in category order) and rewrote the FirstLotMode / _41_FixedLot / _42_RiskPct rows, whose "silently falls back to _41_FixedLot" wording described behavior that MM-SAFETY-001 deleted on the same day. Inputs.mqh line numbers in the 3 rewritten rows + the 6 new rows are from the WORKING TREE at 2026-07-24; the other ~174 rows still cite the ORDER-164 pinned commit and have drifted by ~16 lines.
> Methodology: every owner / active_when / coupled_parameters / causal_question cell was traced by reading the actual code in ea_template/core/*.mqh and ea_template/core/entries/*.mqh at the pinned commit (the 4 files a concurrent session has modified in the working tree - ExitManager.mqh, MoneyManagement.mqh, Recovery.mqh, Inputs.mqh - were re-extracted from git at the same pinned hash so this registry is internally consistent to one commit). Nothing here is inferred from the inline Inputs.mqh comment alone; comments were cross-checked against the switch/if logic that actually reads each identifier. A full-corpus grep pass (177 unique identifiers) was run to confirm none are zero-usage outside their declaration.
> default_profile / optimize_stage / safe_range are UNKNOWN unless a citable source is named in the cell itself (an order, a scorecard row, a doc, or an explicit code clamp). No value in those 3 columns was guessed - see CLAUDE.md hard rule + ORDER-164 "forbidden" list.
> Classification legend: ACTIVE = has real, reachable effect in the current code. INACTIVE = declared but never read, or read only behind a condition that is permanently false for that build. OVERRIDE = supersedes another named input under some condition. COMPATIBILITY = kept only for old .set file compatibility, not meant to be tuned (none found in this codebase - see summary note at end of file).
> SELF-CHECK (required by ORDER-164 spec): RecoveryMode values 82 (REC_ADAPTIVE) and 83 (REC_AGGRESSIVE) are classified ACTIVE below, tagged ENGINE-EDGE. Traced directly to Recovery.mqh:46-69 (pinned snapshot) - Recovery_AddLot() has real case-branch logic for both (82 = DD-scaled multiplier vs _8_DDRefMoney, clamped by RC_RecMultMax; 83 = geometric MathPow(m,rstep) escalation, clamped by RC_RecMultMax), with no early-return gate blocking either branch. The old "(stub)" / "(stub, gated)" labels were factually wrong and were corrected in ORDER-160 (comment-only fix, committed in this same pinned hash 733c1db7). This matches the finding trail in _triage/ORDER158_RECOVERY_STUB_LABEL_FINDING.md.
name,owner,unit,context,active_when,coupled_parameters,default_profile,optimize_stage,safe_range,causal_question,classification,classification_note
"ExitMode","ExitManager.mqh (Exit_InitialTP switch; Exit_ManageBasket EXIT_RUN_TREND/EXIT_TRAIL branches)","enum (21/22/23/24)","exit","always - selects the exit sub-mode for every build","_21_TP_Pip(21); _22_TP_ATRmult(22); _23_TrailStart+_23_TrailStep(23, and Wave5_TightenTrail on build17); _0_FastMA/_0_SlowMA(24, RunTrend uses shared trend MA)","EXIT_ATR_TP(22) - Inputs.mqh:122","UNKNOWN","UNKNOWN","Selects which mechanism decides when to close a leg/basket: fixed pip(points) TP, ATR-multiple TP, trailing stop, or MA-cross run-trend close.","ACTIVE","OVERRIDDEN on build 17 by _17_UseStructLevels=true (per-order TP taken from the wave-1/wave-3 structural level instead, when ExitMode is not TRAIL/RUN_TREND); also OVERRIDDEN on any build by _2_SuppressLegTP=true (blanks every leg's TP to 0.0 before ExitMode's switch is even reached)"
"SLMode","ExitManager.mqh (Exit_SLDistancePoints, Exit_InitialSL switches)","enum (30-36)","exit","always, EXCEPT build17 which overrides the whole switch when _17_UseStructLevels+g_wave5_sl_price are set (guard G2)","_31_SL_Pip(31); _33_SL_ATRmult+_33_SL_MaxPips+_33_SL_MaxATRmult+_33_AdaptiveON+_33_AdaptiveN(33); _34_DonchianBars(34); _35_SRBars(35); _36_SD_Mult+_36_SD_Period(36); note SLMode=32(SL_MONEY) falls into the switch's default branch and returns 0 - it produces NO per-order price SL by itself, the basket-level stop actually comes from _32_SL_Money independently of this enum","SL_ATR(33) - Inputs.mqh:123","UNKNOWN","UNKNOWN","Selects the per-order stop-loss calculation: none, fixed pip(points), basket-money(no-op here), ATR-multiple(+adaptive), Donchian break, swing S/R break, or StdDev band.","ACTIVE","overridden per-order by _17_UseStructLevels on build17 when a valid structural SL is published"
"FirstLotMode","MoneyManagement.mqh (MM_ConfigValid at OnInit; MM_FirstLot at runtime)","enum (41/42/43)","mm","always - decides first-order sizing. Build 16 EXCEPTED: Kangaroo owns its lot law (_16_BaseLot) and LabCore short-circuits before MM_FirstLot, so every mode is inert there (MM_ConfigValid prints an INIT WARN)","_41_FixedLot(41); _42_RiskPct + SLMode(42 - SLMode must yield a distance; the combination is validated at OnInit, not at order time); _43_LotPerAnchor + _43_BalanceAnchor(43); _4_DdAdaptiveOn+tiers(multiplies the result of ALL three modes); RC_MaxLot(final clamp)","FIRSTLOT_FIXED(41) - Inputs.mqh:124","UNKNOWN","UNKNOWN","Switches level-0 lot sizing between a fixed lot, risk%-of-balance sized off the SL distance, and balance-anchored linear scaling. Since MM-SAFETY-001 (2026-07-24) an unusable config FAILS the attach (INIT_FAILED) and a runtime data failure SKIPS the order - it no longer degrades to _41_FixedLot silently.","ACTIVE","inert on build 16 - warned at OnInit, never failed, so the pinned Boss_16 regression set keeps loading"
"LotProg","MoneyManagement.mqh (MM_NextLot)","enum (50-56)","mm","have>0 (stacked/added orders only - level-0 lot is untouched by this)","_51_ProgFactor(51,54); _52_ProgMult(52, clamped by RC_RecMultMax); _53_PlusLot(53); _55_LogPowerFactor+_55_UseLnNotLog10(55); _56_FibMaxStep(56)","PROG_NONE(50) - Inputs.mqh:125","UNKNOWN","UNKNOWN","Chooses how lot size grows across stacked orders: flat, linear, multiplier(martingale, cage-clamped), additive-plus, log, log-power, or capped Fibonacci.","ACTIVE",""
"TradeDir","entries/Entry_GridTrendMA.mqh; entries/Entry_Breakout.mqh; entries/Entry_MeanReversion.mqh; entries/Entry_ST03.mqh","enum (60-62)","entry","builds 11/12/13/15 only (checked explicitly in those 4 Entry_Evaluate() functions); builds 14/16/18 use their own fixed-direction input instead and never read this; build17 is bidirectional by design and never reads this","per-entry: none direct, but functionally overlaps with _14_Direction/_16_Direction/_18_Direction on builds that ignore it","TRADEDIR_BOTH(60) - Inputs.mqh:126","UNKNOWN","UNKNOWN","Restricts a symmetric entry signal to long-only, short-only, or both; has zero effect on builds 14/16/17/18.","ACTIVE","inert on builds 14/16/17/18 - not a code bug, those entries encode direction their own way"
"TrendFilter","entries/Entry_GridTrendMA.mqh; entries/Entry_Breakout.mqh; entries/Entry_MeanReversion.mqh","enum (70-72)","entry","builds 11/12/13 only; no effect on 14/15/16/17/18","_71_ATRMA+_71_ATRRatio(71); _72_SlopeBar(72)","TFILTER_NONE(70) - Inputs.mqh:127","UNKNOWN","UNKNOWN","Adds a confirming filter (ATR-expansion or MA-slope) before the entry signal is allowed to fire; only wired into 3 of the 8 entry modules.","ACTIVE","inert on builds 14/15/16/17/18"
"RecoveryMode","Recovery.mqh (Recovery_OnTick, Recovery_AddLot)","enum (80-83)","recovery","RecoveryMode != REC_NONE(80) AND basket exists+losing AND StackMode != STACK_PYRAMID(93, LabCore.mqh skips Recovery_OnTick under mode 93)","_8_TriggerATR; _8_StepATR; _8_RecMult(83 only); _8_DDRefMoney(82 only); RC_RecMultMax(cage clamp on both 82 and 83); RC_MaxLevelsOverride/_9_MaxLevels(depth cap shared with Stack)","REC_NONE(80) - Inputs.mqh:128","UNKNOWN","UNKNOWN","Enables offensive add-into-loss escalation: 81=flat add (no escalation), 82=DD-scaled multiplier add, 83=geometric MathPow(mult,step) escalation.","ACTIVE","SELF-CHECK ITEM: 82 and 83 are ENGINE-EDGE class (real escalation logic, not stub) - see header note and Recovery.mqh:46-69"
"HedgeMode","Hedge.mqh (Hedge_OnTick)","enum (0/1)","hedge","HedgeMode != HEDGE_OFF(0) AND StackMode != STACK_PYRAMID(93, LabCore.mqh skips Hedge_OnTick under mode 93)","_H_TriggerDDPct; _H_ReleaseDDPct; _H_Ratio; _H_MaxLot; RC_MaxLot(final clamp via Exec_Open)","HEDGE_OFF(0) - Inputs.mqh:129","UNKNOWN","UNKNOWN","Enables an opposite-direction defensive hedge leg once basket floating DD% breaches the trigger; releases on DD recovery.","ACTIVE",""
"DryRun","Execution.mqh (Exec_Open/Exec_PlacePending/Exec_CloseAll - logs intent, skips real OrderSend); also gates real GlobalVariable writes in RiskControl.mqh, ExitManager.mqh, Recovery.mqh(via MM), Kangaroo.mqh, Persist.mqh(Persist_MigrateLegacy)","bool","execution/safety","always","effectively every order-placing and state-persisting function in the codebase checks this","false - Inputs.mqh:130","UNKNOWN","UNKNOWN","When true, every order becomes a logged intent only (no real broker call) and no terminal GlobalVariable is ever written or deleted - an observation-only instance.","ACTIVE",""
"_0_BarOpenOnly","LabCore.mqh (OnTick cadence gate)","bool","execution","always","none direct - gates the whole management/entry/stack/recovery/hedge cadence to bar-open only; hard-kill(RiskControl_CheckDD)/halt-check/Exit_SafetyMoneyStop remain intrabar regardless of this flag","false - Inputs.mqh:131","UNKNOWN","UNKNOWN","When true, evaluates the signal/management/stack/recovery/hedge pipeline once per bar-open instead of every tick (Zeus-style cadence); safety kill and the basket money-stop always stay intrabar.","ACTIVE",""
