tag | canon | symbol | lot_law | risk | entry_long :: exit :: buildon
EX077 | bollinger | EURUSD | linear-add | no_sl | candle ID2 bearish, candle ID1 bullish, both candle lows below Bollinger Lower Band -> buy next candle :: trailing stop 15 pips step 1 pip on group-of-trades after 2+ orders; n :: already capped at 20 orders via Max Order; try converting linear-add (L+0.02/step) to log-
EX067 | bollinger | EURUSD | grid-add | no_sl,uncapped_grid | no open trade; 3 consecutive bullish candles (min body 3 pips) with candle ID1 close below Bollinger middle line -> buy 0.1 lot :: ForwardTrend: price beyond GridDistance(10pips) in favorable direction :: add an explicit order-count cap to the ReverseTrend leg (this build has none); the wider-g
EX205 | bollinger | unspecified (demoed on BTC) | linear-add | no_sl | manual click 'Open Buy' button (or external indicator signal) opens first buy at Lot_BS; on adverse move every 100 pips, auto-adds :: TP dynamically recalculated as breakeven price +/- 65 pips (modify-TP) :: already capped at 1 lot with tight -$10 cut-loss; buildable extension: swap manual first-e
EX206 | bollinger | unspecified (demoed on BTC) | martingale | no_sl,uncapped_martingale | manual/EA button click opens first buy at Lot_BS (default 0.01); on adverse move, distance doubles each add (range_of_buy x2, adju :: close all when profit > $5 (single set, resets after); cut-loss config :: add explicit Max Order / lot cap (narrator adjusts cut-loss money only, not lot ceiling); 
EX003 | bollinger | EURUSD | grid-add | no_sl,uncapped_grid | candle ID1 & ID2 low both below BB lower band (bullish reversal candles, min body 5 pip) -> buy 0.1 fixed lot, no SL/TP; subsequen :: close all buy+sell when combined profit > 10 pip (single position) or  :: add no_sl -> hard SL and a max-orders cap on the grid; distance-gated lot-doubling (only e
EX173 | bollinger | XAUUSD | linear-add | no_sl | price closes below lower band on a >=100-pip bearish candle -> draw support line at that close; if price crosses back above that s :: no SL/TP; grid-add every 100 pips with lot increasing by +0.01 every a :: already capped (30 orders + 30% equity cut-loss) — build-on candidate; test flat-lot (disa
Solving_the_problem_of_outstan | bollinger | unspecified | martingale | uncapped_martingale,no_sl | correction (reverse-trade/แก้ไม้) order opens when adverse move exceeds a configured pip-gap threshold AND price shows a reversal  :: originally checked unrealized profit via 'pip Total sum' block in Chec :: add an explicit hard cap on correction-order count/lot size to the martingale recovery lad
EX173 | bollinger | XAUUSD | linear-add | no_sl | price closes below lower band on a >=100-pip bearish candle -> draw support line; bearish break flagged; if price crosses back abo :: no SL/TP; grid-add every 100 pips with lot increasing +0.01 every add  :: add an explicit Max_Order position-count cap (sibling video 2113NNp3rk0 uses the same conc
EX175 | bollinger | XAUUSD | grid-add | no_sl,uncapped_grid | first order: candle ID2 closes below Lower Band and is bearish (min body 100 pips), candle ID1 bullish, price crosses above resist :: close all when unrealized profit > 50 USD (rebalance basket close); no :: add explicit position-cap well below broker max (e.g. 200) and add spread/time filter to s
EX152 | breakout-trendline | EURUSD | linear-add | no_sl | ZigZag High[0] > High[1] (rising swing highs = uptrend) -> open buy immediately, group 1 :: no SL/TP on entries; grid-recovery adds every 15 pips (linear +0.01 lo :: already capped 0.2 lot; grid/lot-escalation mechanism shared across EX150-153 series - tes
EX036 | breakout-trendline | EURUSD | fixed | none | ZigZag high[0] > ZigZag high[1] AND ZigZag low[0] < ZigZag low[1] -> place buy-limit pending order 10 pips above ZigZag low[1]; ca :: SL40pip/TP80pip on buy pending order; SL40pip/TP50pip on sell pending  :: single fixed-lot pending-order concept, no grid/martingale to build on directly; extend by
EX097 | breakout-trendline | XAUUSD | martingale | martingale | when 4-candle ATR shows >=100pip increase, place buy-stop pending order 75pip above price (base lot 0.05); opposite pending order  :: TP via profit-unrealized >60pip on both sides, reset on close; SL 60pi :: already capped at 10 losses; try linear-add lot law instead of x2 martingale and re-test; 
