duration_sec,duration_hms,video_id,title
1470,00:24:30,crjn6IanPcc,"I Wasted $5,000 To Learn Volume Price Analysis � Built This Trading Strategy"
889,00:14:49,_BFelENGDv0,"Every SMC/ICT Trading Strategy RANKED (Found The High Win Rate Gems)"
773,00:12:53,Qh6EjfNQ3hw,"Candle Range Theory, Done Right (The Real CRT Strategy)"
755,00:12:35,H1x_XUEL2aY,"Claude Found an RSI + VWAP Pattern You�ve Never Seen (Full Strategy)"
772,00:12:52,s4DSY3Y_N4Y,"If I Had $100 & Only 30 Mins to Trade, I'd Do THIS"
649,00:10:49,7Zvt6efiHME,"My Best Order Block Trades Start With This 200 EMA Filter (Full Strategy)"
755,00:12:35,viqq4tjl4u0,"The Most Boring Box Strategy � But It Finds Reversals EASILY (Wyckoff Method)"
10809,03:00:09,3T0IUQRdNdo,"17 Years in ONE Smart Money Trading Course (Full SMC Analysis)"
790,00:13:10,owz1w37cVHs,"This Price Action Strategy Beats 10,000 Hours of Day Trading"
792,00:13:12,fmHNF1mrSh4,"One Pivot Point Trading Strategy. Fewer Trades. Better Results"
651,00:10:51,28H31JdMXaQ,"The Moving Average Pattern That Repeats Every Morning (Full Strategy)"
759,00:12:39,182KujUBFIM,"I Made Tradingview AI My Market Assistant (Here's How I Use AI In Trading)"
833,00:13:53,jP89VQvMgKE,"Simple Day Trading Strategies That Work Consistently (Even For Beginners)"
838,00:13:58,N4ZS-NNURPM,"This Support & Resistance Strategy Finds Perfect Entries"
785,00:13:05,k6pB2HdV6Ow,"Small Account? This is How I�d Grow $100 Day Trading"
755,00:12:35,GkNhn-k05MY,"The Market Is Rigged � Here's How To Trade It Anyway"
897,00:14:57,WEm7vrIt7rA,"Master Chart Reading With ONE Price Action Strategy (Instant Results)"
826,00:13:46,MTKAd1y1W30,"Breakout Trading, Done Right (The Real Strategy To Eliminate Fakeouts)"
787,00:13:07,PmQTvswoZvw,"The Best Way To Combine Tradingview Indicators For Day Trading"
773,00:12:53,dOZ6g_B59zU,"If I Started Trading Again, I'd Fix This One Mistake (Hint: Math Beats Psychology)"
961,00:16:01,kcglxDJ_ZF0,"I Studied Order Flow Trading for 5 Years � Footprint Charts Beat Everything"
822,00:13:42,M3tFmFeMwak,"This Price Action Strategy Wins BIG (No Indicators, Just Candle Analysis)"
883,00:14:43,TztlrOfhJvY,"If You Learn One Technical Analysis Strategy For Day Trading, Make It THIS"
